Date,JDfrom0,Iprec,WindSp,WindDir,RelHum,AirT,CloudFactor
12/04/2016 07:00,736432.291667,0.000000,-9999.000000,-9999.000000,-9999.000000,-9999.000000,-9999.000000
12/04/2016 08:00,736432.333333,0.000000,-9999.000000,-9999.000000,-9999.000000,-9999.000000,-9999.000000
12/04/2016 09:00,736432.375000,0.000000,-9999.000000,-9999.000000,-9999.000000,-9999.000000,-9999.000000
12/04/2016 10:00,736432.416667,0.000000,-9999.000000,-9999.000000,-9999.000000,-9999.000000,-9999.000000
12/04/2016 11:00,736432.458333,0.000000,-9999.000000,-9999.000000,-9999.000000,-9999.000000,-9999.000000
12/04/2016 12:00,736432.500000,0.000000,-9999.000000,-9999.000000,-9999.000000,-9999.000000,-9999.000000
12/04/2016 13:00,736432.541667,0.000000,-9999.000000,-9999.000000,-9999.000000,-9999.000000,-9999.000000
12/04/2016 14:00,736432.583333,0.000000,-9999.000000,-9999.000000,-9999.000000,-9999.000000,-9999.000000
12/04/2016 15:00,736432.625000,0.000000,-9999.000000,-9999.000000,-9999.000000,-9999.000000,-9999.000000
12/04/2016 16:00,736432.666667,0.000000,-9999.000000,-9999.000000,-9999.000000,-9999.000000,-9999.000000
12/04/2016 17:00,736432.708333,0.000000,-9999.000000,-9999.000000,-9999.000000,-9999.000000,-9999.000000
12/04/2016 18:00,736432.750000,0.000000,-9999.000000,-9999.000000,-9999.000000,-9999.000000,-9999.000000
12/04/2016 19:00,736432.791667,0.000000,-9999.000000,-9999.000000,-9999.000000,-9999.000000,-9999.000000
12/04/2016 20:00,736432.833333,0.000000,-9999.000000,-9999.000000,-9999.000000,-9999.000000,-9999.000000
12/04/2016 21:00,736432.875000,0.000000,-9999.000000,-9999.000000,-9999.000000,-9999.000000,-9999.000000
12/04/2016 22:00,736432.916667,0.000000,-9999.000000,-9999.000000,-9999.000000,-9999.000000,-9999.000000
12/04/2016 23:00,736432.958333,0.000000,-9999.000000,-9999.000000,-9999.000000,-9999.000000,-9999.000000
13/04/2016 00:00,736433.000000,0.000000,-9999.000000,-9999.000000,-9999.000000,-9999.000000,-9999.000000
13/04/2016 01:00,736433.041667,0.000000,-9999.000000,-9999.000000,-9999.000000,-9999.000000,-9999.000000
13/04/2016 02:00,736433.083333,0.000000,-9999.000000,-9999.000000,-9999.000000,-9999.000000,-9999.000000
